label,value
Hindustan Company (Vikhroli-W) (BEST),"19.121865,72.925392"
Hindustan Dorr-Oliver Limited (BEST),"19.112056,72.857545"
"Hindustan Naka, C.Charansingh Chowk (BEST)","19.20807,72.829367"
Hindustan Petroleum (Reay Road) (BEST),"18.981259,72.855755"
Hindustan Petroleum Colony (Goregaon -E) (BEST),"19.172392,72.869516"
Hira Mongi Navneet Hospital (BEST),"19.171086,72.950443"
Hira Nagar (Mulund-W) (BEST),"19.161835,72.94568"
Hira Park (BEST),"19.186345,72.86034702"
Hiradevi Mandir (BEST),"19.157399,72.786618"
Hiranandani (Powai) (BEST),"19.120569,72.906716"
Hiranandani Complex Junction (Kharghar) (BEST),"19.032888,73.066543"
Hiranandani Estate (Thane-W) (BEST),"19.258199,72.98433"
Hiranandani Garden (Powai) (BEST),"19.116215,72.909302"
Hiranandani Gate (Thane-W) (BEST),"19.249789,72.979544"
Hiranandani Telephone Exchange (Powai) (BEST),"19.118168,72.915242"
"Hiranandani, Powai Bus Station (BEST)","19.117705,72.905643"
Hitco (BEST),"19.280198,72.876468"
Holi Bazar (VVMT),"19.35357325,72.79928522"
Holy Angel S School (BEST),"19.173751,72.963848"
Holy Cross Road (Borivali -W) (BEST),"19.248691,72.850146"
Holy Cross School (Kurla-W) (BEST),"19.08242,72.885747"
Holy Family Hospital (Bandra-W) (BEST),"19.054851,72.827805"
Holy Name School (Colaba) (BEST),"18.923162,72.831679"
Holy Spirit Hospital (Andheri-E) (BEST),"19.126597,72.866993"
Horniman Circle (BEST),"18.93153,72.834131"
Housing Colony (Goregaon-E) (BEST),"19.173394,72.868479"
Hpcl North Gate (Mahul) (BEST),"19.022258,72.900573"
Huma Cinema (Kanjurmarg-W) (BEST),"19.129219,72.92577"
Hutatma Chowk (BEST),"18.933019,72.831785"
"Hutatma Chowk, Siddharth College (BEST)","18.933896,72.832316"
Hyderabad Estate (BEST),"18.956014,72.800852"
I.B.P Company (Sewree) (BEST),"19.004648,72.855569"
I.C.Colony (Borivali -W) (BEST),"19.247461,72.846961"
I.C.I. (Sewree) (BEST),"18.980877,72.851453"
I.C.L.School (Vashi) (BEST),"19.073158,73.012475"
"I.E.S School, (J.V.L.R) (BEST)","19.128431,72.887247"
I.I.T.Main Gate (Powai) (BEST),"19.125784,72.917046"
I.I.T.Market (Powai) (BEST),"19.128802,72.919621"
I.N.S.Hamala (Main Gate) Marve (BEST),"19.191929,72.798515"
I.R.B.Complex (Powai) (BEST),"19.11353,72.900921"
I.T. Park Main Gate (Malad-E) (BEST),"19.176101,72.881141"
"Icici Bank  (Chandivli), Sinhagad College (BEST)","19.113573,72.896634"
Icici Bank (Bkc) (BEST),"19.064891,72.861527"
Icici Bank (Malad-W) (BEST),"19.187192,72.841554"
Ijmima (BEST),"19.184142,72.833712"
Imax Cinema (BEST),"19.030336,72.880308"
Imperial Square Society (BEST),"19.284444,72.94762"
Income Tax Colony (Jogeshwari-E) (BEST),"19.13121,72.860756"
Income Tax Office (Bkc) (BEST),"19.05916,72.854519"
Income Tax Office (Marine Lines) (BEST),"18.93821,72.827272"
"Indian Bank, Hiranandani (Thane- W) (BEST)","19.25385604,72.98164196"
Indian Education School (Kandivali-W) (BEST),"19.213586,72.824094"
Indian Hume Pipe Company (BEST),"19.021674,72.866235"
Indian Oil (Sahar) (BEST),"19.10321,72.871169"
Indian Oil Depot (Wadala-E) (BEST),"19.017554,72.865183"
"Indian Oil Depot (Wadala-E), Barkat Ali Dargah (BEST)","19.021014,72.863927"
Indian Oil Nagar (Andheri-W) (BEST),"19.127307,72.831046"
Indian Oil Nagar (Govandi) (BEST),"19.063592,72.912435"
Indian Oil Office (Bkc) (BEST),"19.060159,72.864503"
Indira Dock (BEST),"18.935872,72.843565"
"Indira Nagar (Kamani), Khalai Village (BEST)","19.081971,72.894366"
Indira Nagar (Sewree) (BEST),"18.992749,72.85457"
"Indira Nagar, Frosberry Road (BEST)","18.986587,72.851905"
Industrial Estate (Malad-W) (BEST),"19.185882,72.841754"
Industrial Estate (Vikhroli-W) (BEST),"19.099829,72.914515"
Inorbit Mall (BEST),"19.17249,72.836259"
Ins Ashwini Hospital (BEST),"18.901522,72.814677"
Inspector Kaklis Chowk (BEST),"18.964032,72.843953"
Inter State Bus Station (Anik) (BEST),"19.042504,72.878497"
Interface Building-16 (BEST),"19.184166,72.829652"
Irani Bridge (BEST),"18.959296,72.814579"
"Ishwar Nagar, Bhandup (W) (BEST)","19.144425,72.934446"
Ishwarbhai Patel Road (BEST),"19.161109,72.853532"
Ismail Yusuf College (BEST),"19.134496,72.855336"
J.B.Nagar (Andheri-E) (BEST),"19.10832,72.864571"
J.J.Hospital Nursing Society (Madh) (BEST),"19.185135,72.797694"
J.Mehta Marg (Napean Sea Road) (BEST),"18.951086,72.796223"
"J.V.P.D, Saurashtra Society (BEST)","19.114812,72.83002"
J.V.P.D.Bus Station (BEST),"19.116169,72.831862"
Jackeria Bunder (BEST),"18.99167,72.847667"
Jafri English School (BEST),"19.067488,72.920909"
Jagannath Hospital (VVMT),"19.43929472,72.82326096"
Jagat Satguru Industrial Estate (BEST),"19.170234,72.854362"
"Jagatdev N.Varma Chowk, Kapole Niwas (BEST)","19.02407,72.852888"
Jagdusha Nagar (BEST),"19.099583,72.908471"
Jagruti Nagar (Ghatkopar-W) (BEST),"19.092047,72.901745"
Jagruti Nagar (Metro),"19.08700705,72.90807496"
Jai Mahakali Mandir (BEST),"19.241427,72.864019"
Jai Maharashtra Nagar (Borivali -E) (BEST),"19.221482,72.868585"
Jaibhim Nagar (Goregaon-E) (BEST),"19.170335,72.874803"
Jaihind Cinema (BEST),"18.984382,72.836503"
Jain Mandir (Bhandup-W) (BEST),"19.149792,72.937763"
Jain Mandir (Bhayander-W) (BEST),"19.305542,72.849947"
Jain Mandir (Ghatkopar-E) (BEST),"19.081181,72.908562"
Jain Mandir (Ghodbunder Rd) (BEST),"19.285257,72.900013"
Jain Mandir (Goregaon-W) (BEST),"19.160203,72.848598"
Jain Mandir (Kandivali-W) (BEST),"19.201949,72.849103"
Jain Mandir (Mira Road) (BEST),"19.280082,72.862322"
Jain Mandir (Om Nagar) -(Andheri-E) (BEST),"19.108403,72.86803"
Jain Mandir (Samata Nagar-Kandivali-E) (BEST),"19.213453,72.872917"
Jain Society (Sion) (BEST),"19.039677,72.861751"
"Jakhadevi, Dadar Police Station (BEST)","19.015015,72.834296"
Jalvayu Vihar (Kharghar) (BEST),"19.049653,73.070287"
Jalvayu Vihar (Powai) (BEST),"19.117651,72.905453"
Jama Masjid (Mira Road) (BEST),"19.28466,72.857524"
Jama Masjid (Powai) (BEST),"19.113232,72.902764"
Jambhulpada (BEST),"19.094061,72.898894"
"Jambhulpada, Shivsena Office (BEST)","19.093726,72.898941"
Jambli Mohalla (BEST),"18.955982,72.829622"
Jammu & Kashmir Bank (BEST),"19.280394,72.87077"
Janata Market (Bhandup-W) (BEST),"19.142735,72.933039"
Janata Market (Vikhroli-E) (BEST),"19.121226,72.94001"
Jankalyan Nagar (BEST),"19.199796,72.818618"
Jankalyan Nagar Police Chowky (BEST),"19.199183,72.820635"
Jankidevi Vidyalaya (BEST),"19.139911,72.820856"
"Janta Colony, Shiv Mandir (BEST)","19.200132,72.83388"
Janta Nagar (Kandivali-E) (BEST),"19.213013,72.860963"
Jarimari (Sakinaka) (BEST),"19.094687,72.883413"
"Jarimari Mata Mandir, S.T.Office (Worli) (BEST)","18.995,72.815697"
"Jarimari, Bandra Talao (BEST)","19.057568,72.836753"
Jaslok Hospital (BEST),"18.973484,72.80921"
Jawahar Nagar (Goregaon-W) (BEST),"19.162198,72.846154"
Jay Ganga (BEST),"19.211768,72.820786"
Jay Maharashtra Nagar (BEST),"19.221482,72.868814"
Jay Shastri Nagar (BEST),"19.171446,72.933966"
Jeevan Bima Marg (Churchgate) (BEST),"18.928145,72.825628"
Jeevan Bima Nagar (Borivali -W) (BEST),"19.243985,72.849969"
Jeevan Nagar (BEST),"19.1313,72.831347"
Jeeven Nagar (VVMT),"19.42227983,72.84474148"
Jijamata Bhosle Marg Junction (Chembur) (BEST),"19.070114,72.908547"
Jijamata Municipal School(Byculla-E) (BEST),"18.980264,72.840182"
Jijamata Nagar (Mahul) (BEST),"19.028171,72.888412"
Jijamata Nagar (Worli) (BEST),"18.993269,72.820105"
Jijamata Udyan (Byculla) (BEST),"18.979989,72.834104"
Jijamata Vidyalaya (Malad-E) (BEST),"19.188091,72.865247"
Jite (Local-Pnvl-Bsr),"18.82026046,73.08688484"
"Jitendra Marg, Malad Phatak (BEST)","19.183511,72.850028"
"Jitendra Marg, Post Office (BEST)","19.180232,72.850087"
Jivala Pada (BEST),"19.214635,72.869883"
Jivdani Cross Road (VVMT),"19.45984695,72.81371481"
Jivdani Paytha (VVMT),"19.45935685,72.81889405"
Joe & Helen D Mello Garden (BEST),"19.129898,72.842393"
Jogeshwari  (East) (Metro),"19.14304272,72.85517956"
Jogeshwari (E) Police Station (BEST),"19.139419,72.854677"
Jogeshwari (Local-WR),"19.13637244,72.84903049"
Jogeshwari (W) Bus Station (BEST),"19.133868,72.848283"
Jogeshwari Station-E (BEST),"19.135224,72.849955"
Jogeshwari Tabela (BEST),"19.137833,72.845933"
Jogeshwari Telephone Exchange (BEST),"19.14139,72.843269"
Jogeshwari Vikhroli Link Road (Kanjurmarg-E) (BEST),"19.12493,72.938755"
Johar Chowk (Bhendi Bazaar) (BEST),"18.958243,72.832421"
John Backer (BEST),"19.114926,72.888954"
John Baptist Road (BEST),"19.047667,72.82555"
Johnson & Johnson Company (BEST),"19.174934,72.942085"
Jp Nagar (VVMT),"19.44372781,72.78920816"
Juchandra (Local-Pnvl-Bsr),"19.360152,72.872712"
Juchandra Gaon (VVMT),"19.35781128,72.87320931"
Juhu Beach (BEST),"19.09573596,72.82816697"
Juhu Bus Station (BEST),"19.107899,72.826718"
Juhu Hotel (BEST),"19.105171,72.827081"
Juhu Koliwada (BEST),"19.085956,72.828066"
Juhu Nagar (Vashi) (BEST),"19.084752,73.001855"
Juhu Prabhat (Andheri-E) (BEST),"19.118235,72.828981"
Juhu Shopping Centre (Jvpd) (BEST),"19.115611,72.834847"
Juhu Tara Road (BEST),"19.090066,72.827597"
Juhu Village (Navi Mumbai) (BEST),"19.086685,73.002949"
Jui Nagar (Local-Trans),"19.05601354,73.01819947"
Jui Nagar Railway Station (BEST),"19.055676,73.015463"
"Jui Nagar, Gaondevi Chowk (BEST)","19.049208,73.017218"
Juipada Village (BEST),"19.051069,73.016877"
Jumbo Darshan (Andheri-E) (BEST),"19.113869,72.852545"
Jummapatti (Local-Nrl-Mae),"19.00213,73.3026999"
Jungal Mangal Road (Bhandup-W) (BEST),"19.150586,72.933837"
Jungleshwar Mahadeo Mandir (BEST),"19.100881,72.898587"
Jyoti Mata Church (VVMT),"19.45879717,72.7638117"
K.C.College (BEST),"18.92765,72.828106"
K.C.Company (Bhandup-W) (BEST),"19.158897,72.933436"
"K.E.M Hospital, Nurses Quarters (BEST)","19.000837,72.843101"
K.E.M.Hospital (BEST),"19.001549,72.840755"
K.F.C. Market (Bandra-W) (BEST),"19.065986,72.834219"
K.V.Yadav Chowk (BEST),"18.999065,72.827973"
Kaala Hanuman Mandir (BEST),"19.204821,72.846866"
Kabutarkhana (Dadar-W) (BEST),"19.018669,72.840154"
Kachpada (BEST),"19.189564,72.835371"
Kachwadi (BEST),"19.052752,72.915953"
Kadam Pada (Mulund-W) (BEST),"19.17853,72.948113"
Kailas Industrial Estate (BEST),"19.112215,72.917733"
Kajupada (Borivali -E) (BEST),"19.23388333,72.86953333"
Kajupada (Ghodbunder Road) (BEST),"19.279102,72.922685"
Kajupada (VVMT),"19.27903482,72.92268521"
Kala Chowky Police Station (BEST),"18.987972,72.84294"
Kala Nagar (Bandra-E) (BEST),"19.0534,72.84695"
Kala Nagar (Bandra-E) Mhada Office (BEST),"19.054584,72.847719"
Kala Vidyalaya (BEST),"19.181679,72.813671"
Kalakilla (BEST),"19.048014,72.859152"
Kalamboli (BEST),"19.02617,73.101913"
Kalamboli (Local-Pnvl-Bsr),"19.0348,73.1144"
Kalamboli Bus Station (BEST),"19.027426,73.101192"
Kalamboli Colony (BEST),"19.02206,73.10057"
Kalamboli Fire Brigade (BEST),"19.02633,73.1052"
Kalamboli Naka (BEST),"19.022544,73.105928"
Kalbadevi (BEST),"18.946884,72.82885"
Kalidas Natyagruh (Mulund-W) (BEST),"19.173001,72.949197"
Kalina (BEST),"19.077775,72.862897"
Kalina Village (BEST),"19.077812,72.865805"
Kalpana Chawla Chowk (Borivali -W) (BEST),"19.240983,72.846233"
Kalpana Cinema (BEST),"19.077285,72.878528"
Kalpataru Estate (Majas) (BEST),"19.139715,72.867499"
Kalwa (Local-CR),"19.1960013,72.9980211"
Kalwa Bridge (BEST),"19.197356,72.983475"
Kalyan (Local-CR),"19.23523601,73.13035375"
Kalyan Nagar (BEST),"19.114835,72.887301"
Kamal Amrohi Studio (BEST),"19.133656,72.874651"
"Kamal Baug, 14Th Bungalows -(Madh) (BEST)","19.155828,72.787893"
Kamal Talao (BEST),"19.196377,72.812878"
Kamala Mill (BEST),"19.00296,72.82986"
Kamala Nehru Park (Malabar Hill) (BEST),"18.955321,72.80465"
Kamala Vihar Sports Complex (Poisar) (BEST),"19.21275,72.84339"
Kaman (VVMT),"19.38284425,72.89699098"
Kaman Road (Local-Pnvl-Bsr),"19.336404,72.918925"
Kamani (BEST),"19.084669,72.885489"
Kamani Oil Industries (Chandivli) (BEST),"19.113327,72.890761"
Kamgar Nagar (Kurla-E) (BEST),"19.059437,72.885567"
Kamgar Stadium (Prabhadevi) (BEST),"19.011456,72.835362"
Kamladevi Jain High School (BEST),"19.133485,72.828617"
Kamlakar Walawalkar Udyan (BEST),"19.152835,72.828307"
Kamothe Junction (BEST),"19.023634,73.098301"
"Kamothe Village, Mansarovar (BEST)","19.025759,73.095871"
Kamraj Nagar (Ghatkopar-E) (BEST),"19.073177,72.909287"
Kamraj Nagar (Kandivali-W) (BEST),"19.208625,72.834996"
Kamraj Vidyalaya (Dharavi) (BEST),"19.041255,72.855746"
Kamshet (Local-Pune-Lnl),"18.76719971,73.55283812"
Kandar Pada (Dahisar Bridge) (BEST),"19.254738,72.854546"
Kandarpada (Metro),"19.25168742,72.86704515"
Kandarpada Bus Station (BEST),"19.262604,72.85125"
Kandivali (Local-WR),"19.20445169,72.8520504"
Kandivali (Local-WR),"19.21454535,72.83738994"
Kandivali (Metro),"19.20445169,72.8520504"
Kandivali Bus Station (E) (BEST),"19.201816,72.853515"
"Kandivali Industrial Estate, Ganesh Nagar (BEST)","19.204194,72.828295"
Kandivali Station (E) (BEST),"19.202313,72.853277"
Kandivali Station (W) (BEST),"19.20468402,72.850809"
Kandivali Station Road (W) (BEST),"19.205798,72.850137"
Kandivali Telephone Exchange (BEST),"19.211382,72.851635"
Kandivali Village (BEST),"19.205694,72.842177"
Kane Nagar (BEST),"19.02957,72.865927"
Kaner Phata (VVMT),"19.47011902,72.88108584"
Kanhe (Local-Pune-Lnl),"18.76212759,73.59453059"
Kanheri Caves (BEST),"19.208839,72.901286"
Kanheri Caves Base (BEST),"19.208875,72.901115"
Kanjur Marg Station (W) (BEST),"19.130756,72.92865"
Kanjur Marg Village (Eeh) (BEST),"19.130251,72.94151"
Kanjur Village (BEST),"19.1326,72.936254"
Kanjurmarg (Local-CR),"19.12882405,72.92848262"
Kannamwar Nagar Hospital (BEST),"19.114243,72.937226"
Kannamwar Nagar No.1 (BEST),"19.113827,72.935591"
Kannamwar Nagar No.2 (BEST),"19.120061,72.938441"
"Kannamwar Nagar, Building No.124 (BEST)","19.12241,72.940314"
"Kannamwar Nagar, Building No.150 (BEST)","19.114595,72.939098"
"Kannamwar Nagar, Building No.175 (BEST)","19.116438,72.940885"
"Kannamwar Nagar, Building No.188 (BEST)","19.118706,72.940675"
"Kannamwar Nagar, Pravin Hotel (BEST)","19.116401,72.935325"
Kanti Nagar (Andheri-E) (BEST),"19.108429,72.866053"
Kapadia Nagar (BEST),"19.075178,72.872704"
Kapda Bazar (Mahim) (BEST),"19.035824,72.83941"
Kapilvastu Buddha Vihar (Kalina) (BEST),"19.074955,72.860552"
Kapur Bawdi (BEST),"19.22117,72.977981"
Kapurbawadi (VVMT),"19.22115415,72.97759924"
Karim Bungalows (BEST),"19.15232898,72.870453"
Karjat (Local-CR),"18.91106617,73.32073391"
Karmaveer Dadasaheb Gaikwad Nagar (Antop Hill) (BEST),"19.037439,72.866046"
Karmavir Vidhalaya (VVMT),"19.35800361,72.86949713"
Kartvya Nagar (BEST),"19.007966,72.859186"
Karuna Hospital (BEST),"19.241566,72.853423"
Kasar Vadavali Naka (VVMT),"19.2694794,72.96530227"
Kasara (Local-CR),"19.6483,73.47306"
Kasarvadavali (BEST),"19.269755,72.965477"
Kasarwadi (Local-Pune-Lnl),"18.60788672,73.82153147"
Kashi Village (BEST),"19.274411,72.885709"
Kashimira (BEST),"19.272983,72.883464"
Kashimira Telephone Exchange (BEST),"19.27241,72.87633"
Kasturba Gandhi Chowk (C.P.Tank) (BEST),"18.954453,72.825986"
Kasturba Gandhi Hospital (Saatrasta) (BEST),"18.983807,72.829305"
Kasturi Estate (BEST),"19.301183,72.857219"
Kasturi Vidyalaya (BEST),"19.152077,72.939274"
Kasu (Local-Pnvl-Bsr),"18.64128157,73.07937352"
Kaveri Mahima Society (Goregaon-W) (BEST),"19.167736,72.833496"
Kelavli (Local-CR),"18.8445594,73.3189316"
Kelkar College (BEST),"19.162919,72.956632"
Kelkarwadi (BEST),"19.052832,72.908163"
Kelva Road (Local-WR),"19.6250647,72.79100913"
Kendriya Vidyalaya (Malad-W) (BEST),"19.188026,72.797834"
Kendriya Vidyalaya 3 (Colaba) (BEST),"18.895411,72.810354"
Kendriya Vihar (Metro),"19.06123,72.897469"
Kendriya Vihar (Sector 12) (BEST),"19.037595,73.065719"
Kerekodi Phata (VVMT),"19.35230474,72.81643628"
Ketaki Pada (BEST),"19.255857,72.869337"
"Keva Fragrances, Kelkar Company (BEST)","19.184989,72.947846"
Khadavli (Local-CR),"19.35676231,73.21929257"
Khadi Bhandar (BEST),"18.937637,72.834326"
Khadki (Local-Pune-Lnl),"18.56313946,73.84133081"
Khalsa College (Matunga-E) (BEST),"19.025021,72.857067"
Khambata Lane (BEST),"18.960396,72.824282"
Khandeshwar (Local-Habr),"19.00741611,73.09529878"
Khar Danda (BEST),"19.074488,72.822687"
"Khar Police Station, Sacred Heart School (BEST)","19.073911,72.837501"
Khar Road (Local-WR),"19.06921186,72.84017905"
Khar Station (W) (BEST),"19.069838,72.839718"
Khar Station (W) Road (BEST),"19.070559,72.837418"
Khar Telephone Exchange (BEST),"19.070232,72.834264"
"Khar, 14Th Road (BEST)","19.072336,72.832932"
"Khar, Linking Road (BEST)","19.071009,72.83394"
"Khar, S.V. Road (BEST)","19.0699,72.837789"
Kharbao (Local-Pnvl-Bsr),"19.297979,72.984416"
Khardi (Local-CR),"19.57993751,73.39345846"
Kharegaon Naka (BEST),"19.201833,73.001647"
Kharghar (Local-Habr),"19.02599469,73.05911913"
Kharghar Railway Station (Subway) (BEST),"19.027382,73.057819"
Kharghar Village (Metro),"19.016311,72.852302"
Kharghat Road (BEST),"19.0192,72.8512"
Khari Gaon (BEST),"19.30542,72.857854"
Kharkopar (Local-Bsu),"18.96059579,73.01156455"
Kharodi Village (BEST),"19.196354,72.818431"
Khedekar Wadi (BEST),"19.166705,72.954474"
"Khedgalli, Siddhivinayak Mandir (Prabhadevi) (BEST)","19.014716,72.832634"
Kherani Baug (BEST),"19.102815,72.8991"
Kherwadi (Bandra-E) (BEST),"19.060375,72.846651"
Kherwadi Police Station (BEST),"19.064794,72.850192"
Khetwadi (Girgaon) (BEST),"18.958046,72.822461"
Khindipada (BEST),"19.16661667,72.9297"
Khindipada (Dargah) (BEST),"19.16625,72.92848333"
Khira Nagar (Santacruz-W) (BEST),"19.086948,72.8381"
Khochiwade (VVMT),"19.3428408,72.82586271"
Khodadad Circle (Dadar Tt) (BEST),"19.015113,72.845599"
Khopat (BEST),"19.200627,72.973167"
Khopat S.T.Terminus (BEST),"19.200717,72.973186"
Khopoli (Local-CR),"18.78863674,73.34572805"
"Khot Road, Bhatipada (BEST)","19.150876,72.935947"
Kidwai Nagar (BEST),"19.008767,72.85418"
Kings Circle (Local-Habr),"19.03230875,72.85700306"
Kingston Sez (Powai) (BEST),"19.114256,72.913171"
Kinnari Hall (Kannamwar Nagar) (BEST),"19.11127,72.934384"
"Kirti College, India United Mill (BEST)","19.020841,72.832952"
Kisan Nagar Junction (BEST),"19.193409,72.953893"
Kohinoor Ppl Gate No.2 (BEST),"19.02466,72.843132"
Kokan Nagar (Bhandup-W) (BEST),"19.14417699,72.92824899"
Kokan Nagar (Jogeshwari-E) (BEST),"19.134383,72.864803"
Kokan Vikas (Aarey Colony) (BEST),"19.14340996,72.87076296"
Kokani Pada (Borivali -E) (BEST),"19.247402,72.870531"
Kokani Pada (Malad-E) (BEST),"19.184287,72.86388"
Kokanipada (Extension) (Borivali -E) (BEST),"19.245984,72.872462"
Kolbad (BEST),"19.204051,72.977171"
Koliwada School (VVMT),"19.32986166,72.80459931"
"Kolsite Industries, Juchandra Society (BEST)","19.131881,72.835291"
"Kondivita Caves, Mahakali Caves (BEST)","19.130421,72.872723"
Konkan Railvihar (BEST),"19.022051,73.016392"
Kopar (Local-Pnvl-Bsr),"19.2110526,73.0773322"
Kopar Khairane (BEST),"19.10937,73.001852"
Kopar Khairane (Local-Trans),"19.1033718,73.0112806"
"Kopar Khairane, Sector 15 (BEST)","19.102115,73.004055"
Kopara Village (BEST),"19.036841,73.072825"
Kopari Naka (VVMT),"19.47318991,72.82367784"
Kopari Thane(E) (VVMT),"19.1790354,72.96760145"
Kora Kendra (BEST),"19.220164,72.852448"
Korba Mithagar (BEST),"19.016099,72.864481"
Kranti Nagar (BEST),"19.19417303,72.87260497"
"Krishna Baug, Fine Arts Society (Chembur) (BEST)","19.060941,72.897604"
Krishna Building (Malad-W) (BEST),"19.187236,72.839804"
Krishna Leela Co-Operative Housing Society (BEST),"19.168522,72.833685"
Krishna Nagar (Saki Naka) (BEST),"19.099107,72.887859"
Krishna Vatika (Dahisar-E) (BEST),"19.2628,72.86168333"
Krupa Building (BEST),"19.094036,72.907884"
Krushnanagar (VVMT),"19.45702889,72.78094502"
Kulkarni Wadi (BEST),"19.098451,72.89779"
Kumbhar Tukda (BEST),"18.953776,72.826424"
Kumbharpada (VVMT),"19.46931267,72.8625887"
Kumbharwada (Chembur) (BEST),"19.054281,72.891916"
Kumbharwada (Dharavi) (BEST),"19.037469,72.854751"
Kunchi Kurve Nagar (BEST),"19.077245,72.869938"
Kurar (Metro),"19.18746178,72.85848576"
Kurar Police Chowky (BEST),"19.185479,72.863766"
Kurar Village (BEST),"19.184989,72.858603"
Kurla (Local-CR),"19.06531974,72.87946464"
Kurla (W) Level Crossing (BEST),"19.058274,72.871203"
Kurla Bus Station (E) (BEST),"19.06443333,72.88018333"
Kurla Depot (BEST),"19.075379,72.878823"
Kurla S.T.Depot (BEST),"19.056771,72.884409"
Kurla Station (W) (BEST),"19.067222,72.878998"
L & T Gate No.6 (Powai) (BEST),"19.124214,72.892743"
L I C Cly (BEST),"19.164717,72.954512"
L.I.C Colony (Khar-W) (BEST),"19.066154,72.829896"
Labour Camp (Dharavi) (BEST),"19.03737503,72.85327898"
Lal Bahadur Shastri College (BEST),"18.980583,72.859279"
Lal Dongar (BEST),"19.049482,72.886949"
Lala Lajpatrai Collage (BEST),"18.982098,72.814673"
Lala Lajpatrai College (BEST),"18.98217,72.814388"
Laljipada (BEST),"19.202491,72.834106"
Laljipada Police Chowky (BEST),"19.203927,72.834343"
Lallubhai Compound Police Chowky (BEST),"19.053152,72.927259"
"Lallubhai Compound, Dr.Ambedkar Chowk (BEST)","19.053803,72.927078"
Lashyachandi Society (BEST),"19.172113,72.871199"
Laxmanrao Yadav Market (Kurla Market) (BEST),"19.070375,72.879377"
Laxmi Industrial Estate (Andheri-W) (BEST),"19.134056,72.831934"
Laxmi Nagar (Ghatkopar-E) (BEST),"19.089801,72.915715"
Laxmi Nagar (VVMT),"19.42980447,72.82270306"
Laxmi Tower (Bkc) (BEST),"19.063817,72.86396"
Laxminarayan Residency (BEST),"19.219355,72.959798"
Liberty Garden (BEST),"19.187617,72.842571"
Libra Society (BEST),"19.198968,72.821909"
Lic Office (Borivali -W) (BEST),"19.242522,72.852043"
Lic Officers Training Centre (Borivali -W) (BEST),"19.24279,72.846954"
Lion S Gate (BEST),"18.926796,72.833926"
Lodha Complex (BEST),"19.292519,72.856568"
Loha Bhavan (BEST),"18.952006,72.841313"
Lokhandwala Complex Junction (Jogeshwari-W) (BEST),"19.142376,72.831386"
Lokim Company (BEST),"19.230186,72.976955"
Lokmanya Nagar (Thane) (BEST),"19.208857,72.951505"
Lokmanya Tilak Chowk (Malad-W) (BEST),"19.184682,72.844836"
Lokmanya Tilak Hospital (Sion) (BEST),"19.037725,72.861125"
Lokmanya Tilak Nagar (Asalpha) (BEST),"19.101601,72.890357"
Lokmanya Tilak Nagar (Goregaon-W) (BEST),"19.163234,72.841704"
Lokmanya Tilak Vidyalaya (Chembur) (BEST),"19.066137,72.895095"
Lokpuram (BEST),"19.22471667,72.97"
"Lokshahir Sathe Udyan, Suman Nagar (BEST)","19.053573,72.884439"
Lonavla (Local-Pune-Lnl),"18.74967964,73.40798209"
Louiswadi (BEST),"19.195812,72.962536"
Lower Malad (Metro),"19.20652597,72.834665"
Lower Oshiwara (Metro),"19.16260655,72.83468708"
Lower Parel (Local-WR),"18.99547768,72.8301894"
Lower Parel (Mono),"18.992994,72.831495"
Lower Parel Station (BEST),"18.996899,72.831252"
Lower Parel Workshop (BEST),"19.000901,72.831163"
Lowjee (Local-CR),"18.8091478,73.3353561"
Lube India Company (BEST),"19.0071,72.904131"
Lucky Hotel (Khairani Marg) (BEST),"19.105162,72.895316"
Luis Wadi (VVMT),"19.19586887,72.96241262"
M.H.B.Colony (Borivali -W) (BEST),"19.230508,72.838527"
M.H.B.Colony (Jogeshwari-E) (BEST),"19.133768,72.862883"
M.H.B.Police Station (Borivali -W) (BEST),"19.23247,72.840732"
M.I.D.C (Mira Road) (BEST),"19.266692,72.876894"
"M.I.D.C, Passport Office (BEST)","19.192208,72.955186"
M.I.G.Colony (Kala Nagar) (BEST),"19.056183,72.847651"
"M.M.R.D.A Colony, Gadkari Quarry (BEST)","19.022115,72.90707"
M.M.R.D.A. Colony (Extension) Mahul (BEST),"19.017573,72.887134"
"M.M.R.D.A. Colony, Kokari Agar (BEST)","19.036683,72.871338"
M.M.R.D.A. Pay & Park (Bkc) (BEST),"19.061801,72.861253"
"M.M.R.D.A., Family Court (Bkc) (BEST)","19.056032,72.851471"
M.M.R.D.A.Colony (Mahul) (BEST),"19.017213,72.890317"
M.M.R.D.A.Colony Building No.31 (BEST),"19.017393,72.889319"
M.M.R.D.A.Colony Building No.31 (Mahul) (BEST),"19.017393,72.889357"
M.S.E.B Transmission Company (Sgnp) (BEST),"19.224234,72.881185"
M.S.E.B.Office (Kopar Khairane) (BEST),"19.106858,73.002602"
M.T.Park (BEST),"18.907473,72.811738"
"Macchimar Nagar, Raheja Hospital (Mahim) (BEST)","19.046117,72.843554"
Machhalimar (Vesava) (BEST),"19.133264,72.811936"
Madanpura (BEST),"18.969876,72.828053"
"Madh Beach, Madh Church (BEST)","19.144592,72.790224"
Madh Jetty (BEST),"19.14454,72.801983"
Madh Market (BEST),"19.141286,72.789971"
Madh Sonapur (BEST),"19.141987,72.796329"
Madh Temple (BEST),"19.140672,72.791093"
